music_names,music_artist,music_path,music_cover_music_genre
Separuh Nafas - Dewa 19,Dewa 19 - Separuh Nafas,C:\Project UAS TERBARU\Lagu\Dewa 19 - Separuh Nafas.mp3,C:\Project UAS TERBARU\Gambar Lagu\Dewa 19 - Separuh Nafas.png,Pop Rock
Sial - Mahalini,Mahalini - Sial,C:\Project UAS TERBARU\Lagu\Mahalini - Sial.mp3,C:\Project UAS TERBARU\Gambar Lagu\Mahalini - Sial.png,Pop
Fix You - Coldplay,Coldplay - Fix You,C:\Project UAS TERBARU\Lagu\Coldplay - Fix You.mp3,C:\Project UAS TERBARU\Gambar Lagu\Coldplay - Fix You.png,Rock
Panah Asmara - Afgan,Afgan - Panah Asmara,C:\Project UAS TERBARU\Lagu\Afgan - Panah Asmara.mp3,C:\Project UAS TERBARU\Gambar Lagu\Afgan - Panah Asmara.png,Pop
Attention - Charlie Puth,Charlie Puth - Attention,C:\Project UAS TERBARU\Lagu\Charlie Puth - Attention.mp3,C:\Project UAS TERBARU\Gambar Lagu\Charlie Puth - Attention.png,Pop
One Last Time - Ariana Grande,Ariana Grande - One Last Time,C:\Project UAS TERBARU\Lagu\Ariana Grande - One Last Time.mp3,C:\Project UAS TERBARU\Gambar Lagu\Ariana Grande - One Last Time.png,Pop
Yellow - Coldplay,Coldplay - Yellow,C:\Project UAS TERBARU\Lagu\Coldplay - Yellow.mp3,C:\Project UAS TERBARU\Gambar Lagu\Coldplay - Yellow.png,Pop
Penjaga hati - Nadhif,Nadhif - Penjaga hati,C:\Project UAS TERBARU\Lagu\Nadhif - Penjaga Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\Nadhif - Penjaga hati.png,Pop
Locked Out Of Heaven - Bruno Mars,Bruno Mars - Locked Out Of Heaven,C:\Project UAS TERBARU\Lagu\Bruno Mars - Locked Out Of Heaven.mp3,C:\Project UAS TERBARU\Gambar Lagu\Bruno Mars - Locked Out Of Heaven.png,Pop
Dan - Sheila on 7,Sheila on 7 - Dan,C:\Project UAS TERBARU\Lagu\Sheila on 7 - Dan.mp3,C:\Project UAS TERBARU\Gambar Lagu\Sheila on 7 - Dan.png,Pop Rock
